units,power
32,0.019
64,0.038
96,0.056
128,0.075
160,0.094
192,0.113
224,0.132
256,0.151
288,0.169
320,0.188
352,0.207
384,0.226
416,0.245
448,0.264
480,0.282
512,0.301
544,0.32
576,0.339
608,0.358
640,0.377
672,0.395
704,0.414
736,0.433
768,0.452
800,0.471
832,0.49
864,0.508
896,0.527
928,0.546
960,0.565
992,0.584
1024,0.603
1056,0.621
1088,0.64
1120,0.659
1152,0.678
1184,0.697
1216,0.716
1248,0.734
1280,0.753
1312,0.772
1344,0.791
1376,0.81
1408,0.829
1440,0.847
1472,0.866
1504,0.885
1536,0.904
1568,0.923
1600,0.942
1632,0.96
1664,0.979
1696,0.998
1728,1.017
1760,1.036
1792,1.055
1824,1.073
1856,1.092
1888,1.111
1920,1.13
1952,1.149
1984,1.168
2016,1.186
2048,1.205
2080,1.224
2112,1.243
2144,1.262
2176,1.281
2208,1.299
2240,1.318
2272,1.337
2304,1.356
2336,1.375
2368,1.394
2400,1.412
2432,1.431
2464,1.45
2496,1.469
2528,1.488
2560,1.507
2592,1.525
2624,1.544
2656,1.563
2688,1.582
2720,1.601
2752,1.62
2784,1.638
2816,1.657
